	SEQ.1	SEQ.2	SEQ.3	SEQ.4	SEQ.5	SEQ.6	SEQ.7	SEQ.8	SEQ.9	SEQ.10	SEQ.11	SEQ.12	SEQ.13	SEQ.14	SEQ.15	SEQ.16	SEQ.17	SEQ.18	SEQ.19	SEQ.20	SEQ.21	SEQ.22	SEQ.23	SEQ.24	SEQ.25	SEQ.26	SEQ.27	SEQ.28	SEQ.29	SEQ.30	SEQ.31	SEQ.32	SEQ.33	SEQ.34	SEQ.35	SEQ.36	SEQ.37	SEQ.38	SEQ.39	SEQ.40	SEQ.41	SEQ.42	SEQ.43	SEQ.44	SEQ.45	SEQ.46	SEQ.47	SEQ.48	SEQ.49	SEQ.50	SEQ.51	SEQ.52	SEQ.53	SEQ.54	SEQ.55	SEQ.56	SEQ.57	SEQ.58	SEQ.59	SEQ.60	SEQ.61	SEQ.62	SEQ.63	SEQ.64	SEQ.65	SEQ.66	SEQ.67	SEQ.68	SEQ.69	SEQ.70
k__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1577	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	396	0	0	2	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	33543
k__Bacteria;p__Firmicutes;c__Bacilli;o__Acholeplasmatales;f__Anaeroplasmataceae	0	1704	874	0	0	1225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	119	0	0	46	0	108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	206	0	0	0	938	0	0	39	0	29	0	0	0	0	0	0	0	0	2177	0	0	0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	171	0	0	0	0	0	0	22	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	300	0	0	0	0	0	1	0	0	0	0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae_G	0	5	0	0	0	0	0	0	0	0	0	0	2	0	2	1	2	0	0	0	3	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	7	5	2	0	0	0	0	0	0	0	0	0	0	2	1	0	0	10	0	0	0	0	0	26	0	0	0	0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales_A;f__Planococcaceae	0	0	0	0	0	0	0	0	55	0	0	0	25	0	0	1	0	0	0	0	0	0	0	0	0	0	14	15	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	519	0	0	0	0	0	0	0	55	18	0	0	33	0	48	0	0	0	0	0	0	0	0	51	49	0	0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales_B;f__Caldibacillaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales_D;f__Amphibacillaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	995	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales_D;f__Halobacillaceae	0	0	40	0	32	57	0	0	9	25	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales_H;f__Bacillaceae_D	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	5	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	109	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales_H;f__Bacillaceae_F	0	0	32	0	0	92	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae	4258	4251	3520	15515	466	1465	264	2346	2553	1847	5181	28	5273	16407	28406	6164	17917	3506	560	10886	5440	574	23202	670	9401	2341	3900	22156	6085	7830	12	42	76	12978	1778	1	64	28	3519	691	18	348	1654	2683	0	16648	2920	981	16435	5770	1230	5504	3378	5201	9667	13596	4557	9035	24424	8625	15696	3291	2935	6777	1059	211	3359	272	3006	45
